"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2016","103.244","102.980","103.575","102.860","19.85K","0.23%"
"Dec 27, 2016","103.007","103.055","103.140","102.970","8.16K","0.00%"
"Dec 23, 2016","103.002","103.095","103.205","102.860","11.98K","-0.09%"
"Dec 22, 2016","103.096","102.970","103.150","102.590","22.64K","0.07%"
"Dec 21, 2016","103.029","103.285","103.375","102.750","21.10K","-0.25%"
"Dec 20, 2016","103.288","103.090","103.625","102.975","29.63K","0.38%"
"Dec 19, 2016","102.900","102.815","103.110","102.545","1.22K","-0.05%"
"Dec 16, 2016","102.954","103.130","103.270","102.620","13.42K","-0.10%"
"Dec 15, 2016","103.053","102.480","103.565","102.160","57.74K","1.26%"
"Dec 14, 2016","101.770","101.050","102.345","100.750","66.53K","0.66%"
"Dec 13, 2016","101.107","100.970","101.195","100.785","36.79K","0.06%"
"Dec 12, 2016","101.049","101.645","101.820","100.860","38.20K","-0.56%"
"Dec 09, 2016","101.620","101.150","101.770","101.040","30.12K","0.49%"
"Dec 08, 2016","101.125","100.240","101.275","99.490","75.79K","0.85%"
"Dec 07, 2016","100.268","100.570","100.630","100.180","26.70K","-0.26%"
"Dec 06, 2016","100.530","100.180","100.615","100.010","32.30K","0.42%"
"Dec 05, 2016","100.112","101.555","101.800","99.870","80.45K","-0.74%"
"Dec 02, 2016","100.861","100.950","101.175","100.705","41.18K","-0.24%"
"Dec 01, 2016","101.099","101.560","101.615","100.950","35.28K","-0.43%"
"Nov 30, 2016","101.539","100.980","101.880","100.920","45.37K","0.58%"
"Nov 29, 2016","100.949","101.270","101.690","100.940","38.83K","-0.41%"
"Nov 28, 2016","101.368","101.430","101.630","100.675","46.06K","-0.18%"
"Nov 25, 2016","101.546","101.840","101.970","101.245","31.66K","-0.21%"
"Nov 24, 2016","101.759","101.810","102.120","101.525","16.92K","0.00%"
"Nov 23, 2016","101.759","101.105","101.960","100.960","43.01K","0.65%"
"Nov 22, 2016","101.106","100.835","101.370","100.710","33.99K","-0.01%"
"Nov 21, 2016","101.113","101.400","101.510","100.810","41.84K","-0.17%"
"Nov 18, 2016","101.283","101.070","101.540","100.890","57.29K","0.33%"
"Nov 17, 2016","100.946","100.285","101.010","99.980","55.29K","0.51%"
"Nov 16, 2016","100.438","100.070","100.600","99.915","43.02K","0.19%"
"Nov 15, 2016","100.250","99.810","100.280","99.475","43.94K","0.13%"
"Nov 14, 2016","100.120","99.135","100.240","99.100","54.25K","1.08%"
"Nov 11, 2016","99.050","98.825","99.130","98.545","33.35K","0.28%"
"Nov 10, 2016","98.774","98.535","99.080","98.320","39.89K","0.25%"
"Nov 09, 2016","98.529","98.080","98.695","95.905","88.38K","0.68%"
"Nov 08, 2016","97.860","97.790","97.990","97.560","18.01K","0.07%"
"Nov 07, 2016","97.793","97.340","97.885","97.245","19.69K","0.73%"
"Nov 04, 2016","97.088","97.225","97.380","96.940","18.87K","-0.11%"
"Nov 03, 2016","97.196","97.440","97.480","97.070","24.23K","-0.22%"
"Nov 02, 2016","97.414","97.770","97.795","97.175","27.79K","-0.29%"
