,price_BTC,24% change_BTC,price_chainlink,24% change_chainlink,price_ETH,24% change ETH_ETH,price_ADA,24% change ETH_ADA
2020-01-26,8348.665665079325,-1.0,2.450638056737734,-1.88,160.6736108617405,-1.08,0.0435431200036232,-2.09
2020-01-27,8595.728298493115,2.87,2.569023968046347,4.61,167.6474095857562,4.16,0.044372587590869254,1.87
2020-01-28,8879.335548714553,3.19,2.5991202987428452,1.16,169.7364357354222,1.23,0.047306343705102775,6.2
2020-01-29,9320.805853868467,4.74,2.6395585346834274,1.53,175.19000305345378,3.11,0.05221221482241534,9.4
2020-01-30,9276.893821086494,-0.47,2.764282844662597,4.51,173.70688823620796,-0.85,0.05318318965574728,1.83
2020-01-31,9509.80513557522,2.45,2.910071295728357,5.01,184.72621843141044,5.97,0.05587289917517012,4.81
2020-02-01,9308.060285564778,-2.17,2.815726366880131,-3.35,179.22910385240368,-3.07,0.05384876459872832,-3.76
2020-02-02,9363.22420680057,0.59,2.828793021434588,0.46,183.33693755210257,2.24,0.055455548420960024,2.9
2020-02-03,9338.416631939404,-0.27,2.8269022805190387,-0.07,188.55064179431113,2.77,0.055766417933093095,0.56
2020-02-04,9308.91270229121,-0.32,2.7644784254374106,-2.26,189.86176346298166,0.69,0.056763986623298686,1.76
2020-02-05,9179.95928107711,-1.4,2.7349000796253593,-1.08,188.84220736948276,-0.54,0.05599710396923617,-1.37
2020-02-06,9592.18387389791,4.3,2.8342003097694746,3.5,203.8593183747095,7.37,0.05896099183018863,5.03
2020-02-07,9744.636578159387,1.56,2.8848138369639296,1.75,212.73341421352782,4.17,0.059792837110445723,1.39
2020-02-08,9799.448455824684,0.56,3.317302839886062,13.04,223.27631974791998,4.72,0.05977410411537365,-0.03
2020-02-09,9890.701658194865,0.92,3.4237594716003503,3.11,223.30077697426225,0.01,0.06015651138174843,0.64
2020-02-10,10148.379719131783,2.54,3.3935812632799265,-0.89,228.29226083217347,2.19,0.06153145499449852,2.23
