,price_BTC,price_ETH,BTC 1W change percent,ETH 1W change percent
2019-05-19,7300.655158341227,235.32720134101993,0.58,16.42
2019-05-26,8037.627431860584,250.82036469745617,9.17,6.18
2019-06-02,8554.261728092017,264.72732428744166,6.04,5.25
2019-06-09,7942.539284064289,244.62980571926562,-7.7,-8.22
2019-06-16,8818.609506932296,268.1121928964469,9.93,8.76
2019-06-23,10704.922148115673,310.65499867231955,17.62,13.69
2019-06-30,11972.555667220913,321.43279903776084,10.59,3.35
2019-07-07,11279.476377672418,289.57713834106636,-6.14,-11.0
2019-07-14,11418.511855491488,270.314761247692,1.22,-7.13
2019-07-21,10774.281137633849,228.96480408491627,-5.98,-18.06
2019-07-28,9447.678401413306,206.531772895918,-14.04,-10.86
2019-08-04,10791.200523159,221.41611875255478,12.45,6.72
2019-08-11,11327.842642233223,206.50462546838185,4.74,-7.22
2019-08-18,10224.218706633936,185.76004109383433,-10.79,-11.17
2019-08-25,10145.01247970698,190.55575089343063,-0.78,2.52
2019-09-01,9607.289264302583,172.07296929356409,-5.6,-10.74
2019-09-08,10461.547731202416,177.85258889110943,8.17,3.25
2019-09-15,10349.551958231765,188.30568158376607,-1.08,5.55
2019-09-22,9997.199887816778,215.34523960456264,-3.52,12.56
2019-09-29,8225.11037185192,174.07970541243265,-21.54,-23.7
2019-10-06,8140.242484268429,176.2772565733896,-1.04,1.25
2019-10-13,8308.470967433434,179.94653567610214,2.02,2.04
2019-10-20,7949.802268609832,171.85241043187662,-4.51,-4.71
2019-10-27,9217.236031536286,179.53527008259897,13.75,4.28
2019-11-03,9302.83461784109,183.21568174708486,0.92,2.01
2019-11-10,8809.78367388588,184.95814543107952,-5.6,0.94
2019-11-17,8496.376959145864,182.63065416042576,-3.69,-1.27
2019-11-24,7309.689243566324,151.96608493452732,-16.23,-20.18
2019-12-01,7556.397585815771,151.73585404476006,3.26,-0.15
2019-12-08,7493.545154556748,147.1457864691915,-0.84,-3.12
2019-12-15,7081.740255265727,141.84486515951662,-5.82,-3.74
2019-12-22,7141.554857046259,126.93287325611249,0.84,-11.75
2019-12-29,7307.887522683333,128.0669874384903,2.28,0.89
2020-01-05,7351.377053166627,134.1368826978575,0.59,4.53
2020-01-12,8012.085781814529,142.18233327497873,8.25,5.66
2020-01-19,8906.902675151074,174.23837318258896,10.05,18.4
2020-01-26,8348.665665079325,160.6736108617405,-6.69,-8.44
2020-02-02,9363.22420680057,183.33693755210257,10.84,12.36
2020-02-09,9890.701658194865,223.30077697426225,5.33,17.9
2020-02-16,9894.136123789158,263.8999463915962,0.03,15.38
2020-02-23,9658.606058375473,260.99654013152536,-2.44,-1.11
2020-03-01,8552.989118581636,218.34835692985286,-12.93,-19.53
2020-03-08,8902.20195010789,237.38079020191347,3.92,8.02
2020-03-15,5214.189112383918,123.030844108903,-70.73,-92.94
2020-03-22,6145.770891252399,131.94321845316688,15.16,6.75
2020-03-29,6255.000398693634,131.42405214081145,1.75,-0.4
2020-04-05,6859.424923721944,144.200802681986,8.81,8.86
2020-04-12,6878.781212589853,158.32787794181905,0.28,8.92
2020-04-19,7242.5109294929825,187.14354411560592,5.02,15.4
2020-04-26,7538.557687279841,194.11423682570447,3.93,3.59
2020-05-03,8966.307014689282,213.94301121407548,15.92,9.27
2020-05-10,9566.777187205966,210.4318181376063,6.28,-1.67
2020-05-17,9375.29710843331,200.58339090310048,-2.04,-4.91
2020-05-24,9170.361063506127,206.4112069583191,-2.23,2.82
2020-05-31,9662.70587254818,242.70977026782677,5.1,14.96
2020-06-07,9662.858709002241,242.02164036721499,0.0,-0.28
2020-06-14,9469.473456163696,238.29362910089247,-2.04,-1.56
2020-06-21,9360.247968201687,228.8691487972198,-1.17,-4.12
2020-06-28,9013.90556467614,221.0260852973422,-3.84,-3.55
2020-07-05,9132.908369533492,229.09471646218861,1.3,3.52
2020-07-12,9234.314674712627,239.10202554671358,1.1,4.19
2020-07-19,9168.402736564132,235.6811447764246,-0.72,-1.45
2020-07-26,9691.825138917147,305.0381394111965,5.4,22.74
2020-08-02,11812.094307268515,387.94242117124685,17.95,21.37
2020-08-09,11739.131006414418,391.47843864211467,-0.62,0.9
2020-08-16,11864.905810156475,432.6546652389318,1.06,9.52
2020-08-23,11676.385305081287,395.88501828908585,-1.61,-9.29
2020-08-30,11481.481823317012,399.374543834064,-1.7,0.87
2020-09-06,10177.789718049991,334.46859301354317,-12.81,-19.41
2020-09-13,10439.38467226404,387.72351629002264,2.51,13.74
2020-09-20,11083.99836119821,385.4721234936851,5.82,-0.58
2020-09-27,10743.19287975935,354.2615819143104,-3.17,-8.81
2020-10-04,10546.65625537982,345.99246319342933,-1.86,-2.39
2020-10-11,11286.541942043945,370.4718109734285,6.56,6.61
2020-10-18,11365.814131026178,368.6504703636898,0.7,-0.49
2020-10-25,13106.04601925958,411.95921775305027,13.28,10.51
2020-11-01,13778.637638352931,385.8445887975079,4.88,-6.77
2020-11-08,14818.45891122149,435.4183540833094,7.02,11.39
2020-11-15,16095.561510630652,462.7183970607933,7.93,5.9
2020-11-22,18689.528655825852,548.842116249849,13.88,15.69
2020-11-29,17718.972832629497,537.3926120944484,-5.48,-2.13
2020-12-06,19139.111575237486,595.9194139680376,7.42,9.82
2020-12-13,18807.09540322016,568.3587534073821,-1.77,-4.85
2020-12-20,23863.85484171969,659.3188076372094,21.19,13.8
2020-12-27,26476.130137019492,636.7423171944997,9.87,-3.55
2021-01-03,32163.824935335215,777.6960653039432,17.68,18.12
2021-01-10,40296.5290038294,1282.979575527323,20.18,39.38
2021-01-17,36254.713079410845,1234.6318700828049,-11.15,-3.92
2021-01-24,32068.08737440817,1231.176379704471,-13.06,-0.28
2021-01-31,34199.51981036302,1372.427228964234,6.23,10.29
2021-02-07,39279.41286897885,1683.941297865053,12.93,18.5
2021-02-14,46941.29208582354,1810.8425457323726,16.32,7.01
2021-02-21,56377.63347790987,1929.367692879665,16.74,6.14
2021-02-28,46653.52639939581,1480.1295768477528,-20.84,-30.35
2021-03-07,49019.36859236582,1661.9279698998157,4.83,10.94
